Timestamp,I will use my new powers...,Sample Question 2,The course delivered its advertised curriculum.,This instructor communicated content clearly.,What could the instructor do better next time?,"In general, what would make this training better next time?",Unnamed: 7,How did you hear about this training?,"After this training, if my schedule allows, I would be interested in attending another D-Lab training.","What trainings, workshops, or working groups would you like to see the D-Lab offer?",Unnamed: 11,What kind of data are you working with / would you like to work with?,"What department, school, program, or organization at Berkeley are you associated with?",Unnamed: 14,What other services (besides training) could D-Lab help you with?,"What department, school, program, or organization at Berkeley are you associated with?.1","Any other information or comments you want to share? What training, working groups, or services would you like to see the D-Lab offer? What kind of data are you working with/would you like to work with? What is the greatest technical challenge to your research?",What was the most helpful part of the training for you?,What was the most disappointing part of this training for you?,"I left with new knowledge, skills, and/or resources that are useful for my research.",What is the greatest technical challenge to your research?,I will use my new skills and powers...,How did you hear about this training?.1,Instructor.1,Please indicate your gender.,Please describe your race/ethnicity. Check all that apply.   ,"People may experience barriers to learning or participating in data intensive social science because of their race/ethnicity, gender, social or economic background, or prior exposure. Have you experienced these kinds of barriers?",Have you experienced these barriers in the D-Lab?,"If yes, what factors contributed to these barriers?",What is your career stage or position?
4/20/2015 16:47:09,,,7,3,,,,,7.0,,,,,,,,"a little too fast, but tremendously useful!!!",,,7,,,,,,Decline to state,,,,
4/17/2015 16:22:40,,,7,6,,,,Found it on the D-Lab website,6.0,,,,,,,Econ,,,,5,,,,,Male/Man,African American/Black,3.0,1.0,,Undergraduate student
4/17/2015 16:21:13,,,5,5,,,,Email from the D-Lab mailing list,5.0,,,,,,,Econ,,,,6,,,,,Female/Woman,Asian American,,,,Postdoctoral researcher
4/17/2015 16:18:48,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,,,,,,,,6,,,,,Decline to state,Decline to state,3.0,1.0,"Instructors, Learning materials, Staff, D-Lab students",Administrative staff title
4/17/2015 12:53:07,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,School of Public Health,,,,6,,,,,Female/Woman,White,1.0,1.0,,Academic staff title
4/17/2015 12:41:58,,,6,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ESPM,,,,7,,,,,Female/Woman,White,1.0,1.0,,Faculty
4/17/2015 12:22:23,,,7,7,,,,,7.0,,,,,,,SPH - Epidemiology,,,,7,,,,,Female/Woman,Asian American,4.0,1.0,,Administrative staff title
4/17/2015 12:21:08,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,GSE,,,,7,,,,,Female/Woman,White,3.0,1.0,,"PhD student, dissertation stage"
4/17/2015 12:20:04,,,7,7,,,,,6.0,,,,,,,School of Public Health,,,,7,,,,,Female/Woman,African American/Black,,,,Administrative staff title
4/17/2015 11:53:42,,,6,6,,,,Found it on the D-Lab website,6.0,,,,,,,industrial engineering and operations research,,,,5,,,,,Male/Man,White,1.0,1.0,,Postdoctoral researcher
4/17/2015 10:44:47,,,7,5,,,,Found it on the D-Lab website,7.0,,,,,,,Jurisprudence and Social Policy Program,The sessions were a little fast-paced. I had some trouble keeping up but I am a very beginner user so that might just have been my experience. Thanks for making the bigger for day 2. Overall a useful workshop,,,5,,,,,Female/Woman,Decline to state,1.0,1.0,,"PhD student, dissertation stage"
4/17/2015 10:42:49,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Haas,continuing to do,,,7,,,,,Male/Man,Chinese,2.0,2.0,my listening,Visiting fellow or researcher
4/17/2015 10:41:40,,,6,6,,,,Found it on the D-Lab website,6.0,,,,,,,Haas,Cleaning and reorganize data,,,6,,,,,Female/Woman,International,2.0,2.0,,"PhD student, dissertation stage"
4/17/2015 10:40:42,,,6,6,,,,Found it on the D-Lab website,7.0,,,,,,,,It would be helpful to wait a little in between writing code in doing and jumping to running it. It is difficult to follow otherwise. Thanks!,,,6,,,,,Female/Woman,,4.0,1.0,,"PhD student, dissertation stage"
4/17/2015 10:38:59,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ERG,,,,7,,,,,,,,,,
4/17/2015 10:38:14,,,7,7,,,,Found it on the D-Lab website,7.0,,,,,,,Public Health ,,,,7,,,,,Female/Woman,White,4.0,1.0,,Masters student
4/17/2015 10:37:25,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,,,,Public Health ,,,,6,,,,,Female/Woman,White,1.0,1.0,,Visiting fellow or researcher
4/17/2015 10:36:12,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,,Have instructor post name somewhere prominently in the room - this was a great intro class !!!,,,7,,,,,Male/Man,Latino/Chicano,2.0,1.0,,Academic staff title
4/17/2015 10:34:41,,,7,5,,,,Heard about it from a friend/colleague,6.0,,,,,,,,,,,5,,,,,Male/Man,White,1.0,1.0,,Working
4/17/2015 10:32:49,,,6,6,,,,Email from the D-Lab mailing list,7.0,,,,,,,GSPP,,,,5,,,,,,,,,,
4/16/2015 17:47:26,,,6,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Sociology,"Both instructors were great. It was nice to have two instructors in order to see slightly different perspectives/experiences. That made concrete the idea that there isn't only one way, or a right way, to do this kind of work, but that there are some common concerns or issues.

It would be helpful to have a workshop/training about managing interview transcripts. (You may have already done this previously and I just didn't notice it!)",,,6,,,,,Female/Woman,White,4.0,1.0,,"PhD student, dissertation stage"
4/15/2015 16:58:10,,,4,4,,,,,6.0,,,,,,,Not listed ,"The end of the workshop today starting with scrapping the web went too fast. 

I would like to see an indesign workshop & an intro to Java training ",,,4,,,,,Female/Woman,African American/Black,3.0,3.0,,"PhD student, dissertation stage"
4/15/2015 16:55:39,,,6,6,,,,Found it on the D-Lab website,7.0,,,,,,,Public Health ,Thank you ,,,7,,,,,Female/Woman,White,,,,Faculty
4/14/2015 17:40:29,,,6,6,,,,Heard about it from a friend/colleague,6.0,,,,,,,Political Science,,,,7,,,,,Female/Woman,White,1.0,1.0,,Undergraduate student
4/14/2015 17:38:53,,,7,7,,,,Found it on the D-Lab website,6.0,,,,,,,Political Science,,,,6,,,,,Male/Man,White,4.0,1.0,,Undergraduate student
4/14/2015 17:37:21,,,7,6,,,,Email from another mailing list,7.0,,,,,,,Political Science,,,,6,,,,,Male/Man,"Asian American, White",1.0,1.0,,Undergraduate student
4/14/2015 1:35:34,,,5,6,,,,Email from another mailing list,5.0,,,,,,,Linguistics,,,,5,,,,,Female/Woman,Asian American,1.0,1.0,,Undergraduate student
4/13/2015 19:15:28,,,6,7,,,,,6.0,,,,,,,Vision Science,,,,6,,,,,Male/Man,White,,,,former grad student and staff
4/13/2015 18:59:41,,,6,6,,,,Email from the D-Lab mailing list,7.0,,,,,,,The Long Now Foundation,"Working with an open-source database and related open-source software. The greatest challenge is the difficulty of discovering, acquiring, and extracting data. Among other things, this requires getting help from persons world-wide with appropriate competence, and managing many volunteers or short-term contractors has high overhead costs. A collaborative data extraction management platform would be very helpful in overcoming this challenge.",,,5,,,,,Male/Man,"Latino/Chicano, White",1.0,1.0,,Researcher with a different affiliation
4/13/2015 18:47:20,,,6,6,,,,Heard about it from a friend/colleague,6.0,,,,,,,Information,,,,7,,,,,Male/Man,White,2.0,1.0,,"PhD student, dissertation stage"
4/13/2015 17:51:49,,,6,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Psychology,Thank you!,,,6,,,,,Female/Woman,White,2.0,1.0,,Undergraduate student
4/13/2015 17:49:29,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Public Health Library,,,,7,,,,,,Decline to state,1.0,1.0,,librarian
4/13/2015 17:46:09,,,7,7,,,,Email from another mailing list,7.0,,,,,,,ARE (Agricultural and Resource Economics),"How to use UPS, Big Data",,,7,,,,,Female/Woman,Asian American,1.0,1.0,,"PhD student, dissertation stage"
4/13/2015 17:43:37,,,7,7,,,,Email from another mailing list,7.0,,,,,,,Health Science & Policy Analysis,,,,7,,,,,Female/Woman,International,2.0,1.0,,"PhD student, dissertation stage"
4/13/2015 17:39:58,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Public Health,,,,7,,,,,Female/Woman,White,,,,Masters student
4/13/2015 17:38:19,,,6,6,,,,Don't remember,6.0,,,,,,,Public Health,,,,6,,,,,Female/Woman,Decline to state,,,,Undergraduate student
4/13/2015 17:36:46,,,6,6,,,,Email from another mailing list,6.0,,,,,,,Epidemiology/Biostatistics,,,,6,,,,,Male/Man,White,1.0,1.0,,Masters student
4/13/2015 17:34:53,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,School of Public Health,Michael did a great job. I love the way he injected humor into his presentation!,,,7,,,,,Female/Woman,Latino/Chicano,3.0,1.0,,"PhD student, pre-dissertation"
4/13/2015 17:31:53,,,7,7,,,,Found it on the D-Lab website,7.0,,,,,,,Public Health - EHS,,,,7,,,,,Female/Woman,White,1.0,1.0,,Faculty
4/13/2015 17:29:43,,,7,6,,,,Email from another mailing list,6.0,,,,,,,Public Health & City and Regional Planning,gis workshops on joining data from different sources,,,6,,,,,Female/Woman,Asian American,2.0,1.0,,Masters student
4/11/2015 15:27:09,,,7,5,,,,Email from the D-Lab mailing list,6.0,,,,,,,Equity & Inclusion,"The class was a little bit haphazard.  The instructor put together a nice set of materials but the presentation tended to jump around.

I'd like to see d3 classes that cover more advanced techniques such as integrating API or jQuery.

I work with institutional data on students, faculty, and staff primarily using Cal Answers.

The biggest technical challenge to my work is having the knowledge to create complicated visualizations in d3.",,,5,,,,,Male/Man,White,1.0,1.0,,Administrative staff title
4/10/2015 18:02:54,,,5,4,,,,Email from the D-Lab mailing list,5.0,,,,,,,CMSTS,Great advice on moving ahead with d3 projects and nicely communicated excitement of abilities to make new arguments and make compelling arguments with d3 tools and connecting to D3 community,,,4,,,,,Male/Man,White,1.0,1.0,,Visiting fellow or researcher
4/10/2015 17:11:54,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ITS,,,,7,,,,,Male/Man,Asian American,1.0,1.0,,Postdoctoral researcher
4/10/2015 16:57:12,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ESPM,,,,7,,,,,Female/Woman,White,2.0,1.0,,"PhD student, dissertation stage"
4/10/2015 16:29:53,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,CMSTS,"very nicely interactive session!  the good turnout perhaps meant that folks were at different levels, but all seem to have profited",,,7,,,,,Male/Man,White,1.0,2.0,,Visiting fellow or researcher
4/10/2015 16:24:22,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Residential & Housing Services,Zawadi is an excellent instructor. She is engaging and very knowledgeable. She was able to answer everyone's questions and gave examples in her explanations. ,,,6,,,,,Female/Woman,Latino/Chicano,1.0,1.0,,Administrative staff title
4/10/2015 16:21:25,,,5,5,,,,Found it on the D-Lab website,5.0,,,,,,,I school ,"This is for the d3.js workshop (there wasn't an option under the drop down menu) 
Thanks, it was great! ",,,5,,,,,Female/Woman,Asian American,3.0,1.0,,Masters student
4/10/2015 14:39:17,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,city and regional planning,"Great training! It was very informative, and was well worth my time.",,,7,,,,,Female/Woman,White,,1.0,,"PhD student, dissertation stage"
4/10/2015 9:34:50,,,7,6,,,,Heard about it from a friend/colleague,7.0,,,,,,,EEP,,,,6,,,,,Female/Woman,Latino/Chicano,1.0,1.0,,Undergraduate student
4/10/2015 9:33:15,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Integrative Biology ,All R trainings= Good! ,,,6,,,,,Male/Man,White,1.0,1.0,,"PhD student, pre-dissertation"
4/10/2015 9:31:38,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,sociology,"Working with longitudinal data in R, merging data frames. ",,,7,,,,,Male/Man,White,3.0,3.0,Instructors,"PhD student, pre-dissertation"
4/10/2015 9:30:18,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Social Welfare,FSQA more advanced text analysis. Network Analysis,,,5,,,,,n/a,n/a,1.0,3.0,Instructors,"PhD student, pre-dissertation"
4/10/2015 9:20:57,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,,,,OPA,"Pace of the training was fast, it was challenging to take notes while practicing/working on the computer. It will be really helpful and useful to have training manuals/materials available to workshop participants.",,,5,,,,,Male/Man,Asian American,1.0,2.0,Learning materials,Administrative staff title
4/9/2015 16:55:45,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Institutional Research,,,,7,,,,,Female/Woman,Asian American,1.0,1.0,,Administrative staff title
4/9/2015 11:02:09,,,7,5,,,,Email from the D-Lab mailing list,6.0,,,,,,,library,,,,6,,,,,Male/Man,White,,,,Academic staff title
4/9/2015 10:48:23,,,7,7,,,,Email from another mailing list,7.0,,,,,,,The Library,"Happy to complete satisfaction surveys, but for this session I was asked to fill out the same survey in paper and by email.  If someone has filled out the paper survey, it would be nice not to get the email survey as well.
thanks!",,,7,,,,,Female/Woman,White,1.0,1.0,,Academic staff title
4/8/2015 18:20:33,,,3,5,,,,Email from the D-Lab mailing list,5.0,,,,,,,CEDA,,,,4,,,,,Female/Woman,White,4.0,1.0,,Academic staff title
4/8/2015 15:22:51,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Library ,,,,7,,,,,Female/Woman,White,1.0,1.0,,Librarian 
4/8/2015 15:20:28,,,7,7,,,,Found it on the D-Lab website,7.0,,,,,,,Public Health - EHS,More classes for people without CD backgrounds (like this one) would be helpful ,,,7,,,,,Female/Woman,White,1.0,1.0,,Faculty
4/8/2015 15:18:10,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ESPM,"It is very tough to being using code like python, or R. I would love a week-long beginners intensive course that went slow enough for a new-comer to actually follow along and keep up. ",,,7,,,,,Female/Woman,White,1.0,1.0,,Postdoctoral researcher
4/8/2015 15:14:35,,,7,6,,,,,6.0,,,,,,,Library ,,,,6,,,,,,Decline to state,,,,
4/8/2015 15:12:46,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,ISF,excel ,,,6,,,,,Female/Woman,Latino/Chicano,4.0,,Learning materials,Undergraduate student
4/8/2015 12:29:43,,,6,7,,,,Email from the D-Lab mailing list,7.0,,,,The Library ,,,Academic staff title,,,,6,,,,,Male/Man,White,1.0,1.0,,
4/8/2015 10:46:28,,,7,7,,,,Found it on the D-Lab website,7.0,,,,School of Information,,,Masters student,,,,7,,,,,Female/Woman,Asian American,3.0,1.0,,
4/8/2015 10:44:18,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Library,,,Librarian,,,,7,,,,,Female/Woman,White,,1.0,,
4/8/2015 10:40:33,,,7,6,,,,Heard about it from a friend/colleague,7.0,,,,Library,,,staff,,,,7,,,,,Female/Woman,White,2.0,1.0,,
4/8/2015 10:38:49,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,OPA (Office of Planning & Analysis),,,Administrative staff title,More D-3 -- both sessions full! More modelling stuff,,,7,,,,,Female/Woman,White,1.0,1.0,,
4/8/2015 10:16:10,,,5,7,,,,Heard about it from a friend/colleague,,,,,library,,,Libraries,I would love additional hands on workshops. The working group sounds interesting!,,,7,,,,,Female/Woman,White,2.0,1.0,,
4/8/2015 10:14:40,,,7,7,,,,Email from the D-Lab mailing list,,,,,Poli Sci,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,African American/Black,2.0,1.0,,
4/8/2015 10:13:02,,,7,6,,,,Email from the D-Lab mailing list,,,,,ITS,,,Postdoctoral researcher,,,,7,,,,,Male/Man,Asian American,1.0,1.0,,
4/8/2015 10:11:30,,,7,6,,,,Found it on the D-Lab website,7.0,,,,JSP,,,"PhD student, dissertation stage","When teaching in STATA, please find a way to make the font larger in the do-file. Made it difficult to learn because I could not read anything she wrote. She was wonderful!",,,7,,,,,Female/Woman,White,3.0,3.0,,
4/8/2015 10:05:56,,,7,4,,,,Found it on the D-Lab website,7.0,,,,Public Health,,,Visiting fellow or researcher,"Please make information on the screen bigger. Also, very helpful to have floaters assisting in the room",,,5,,,,,Female/Woman,White,1.0,1.0,,
4/8/2015 10:03:55,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Library,,,Academic staff title,,,,7,,,,,Male/Man,"Latino/Chicano, White",,,,
4/8/2015 10:02:38,,,7,6,,,,Found it on the D-Lab website,7.0,,,,School of Public Health - EHS,,,Masters student,You should offer more excel workshops! Thanks so much for this stata workshop.,,,7,,,,,Female/Woman,White,4.0,1.0,,
4/8/2015 9:57:51,,,7,7,,,,Email from another mailing list,7.0,,,,"Public Policy, Goldman School",,,Masters student,It would be nice to have a command handout,,,6,,,,,Female/Woman,Latino/Chicano,5.0,1.0,,
4/8/2015 9:56:21,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,,,,,7,,,,,,,,,,
4/8/2015 9:48:25,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Economics,,,Undergraduate student,,,,7,,,,,Female/Woman,International,,,,
4/8/2015 9:46:16,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,"EAP, Public Policy",,,Undergraduate student,It would be good to have some exercises to practice with solutions. ,,,7,,,,,Female/Woman,White,3.0,3.0,,
4/8/2015 9:42:05,,,7,5,,,,Found it on the D-Lab website,7.0,,,,Jurisprudence and Social Policy,,,"PhD student, dissertation stage",,,,6,,,,,Female/Woman,Decline to state,,,,
4/8/2015 9:39:43,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Haas Business School,,,Visiting fellow or researcher,,,,7,,,,,Male/Man,Chinese,3.0,3.0,,
4/8/2015 9:38:48,,,1,1,,,,Email from another mailing list,1.0,,,,Haas Business School,,,"PhD student, dissertation stage",I'd like to join in more STATA training courses.,,,1,,,,,Female/Woman,International,3.0,1.0,,
4/8/2015 9:37:09,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Natural Resources,,,,,,,7,,,,,,,,,,
4/7/2015 23:40:07,,,7,7,,,,Found it on the D-Lab website,7.0,,,,I School,,,Masters student,,,,7,,,,,Female/Woman,Asian American,3.0,1.0,,
4/7/2015 17:05:34,,,7,7,,,,Email from another mailing list,7.0,,,,sociology,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,White,1.0,1.0,,
4/7/2015 17:04:11,,,5,6,,,,Email from the D-Lab mailing list,7.0,,,,Linguistics,,,"PhD student, dissertation stage",,,,5,,,,,Female/Woman,White,3.0,1.0,,
4/6/2015 17:55:40,,,7,7,,,,Email from another mailing list,7.0,,,,Graduate School of Education,,,"PhD student, dissertation stage",,,,5,,,,,Female/Woman,White,3.0,1.0,,
4/6/2015 17:53:25,,,7,6,,,,Heard about it from a friend/colleague,7.0,,,,History department,,,"PhD student, dissertation stage",,,,6,,,,,Male/Man,White,1.0,1.0,,
4/3/2015 15:58:19,,,6,5,,,,Found it on the D-Lab website,7.0,,,,Economics,,,"PhD student, pre-dissertation",,,,4,,,,,Male/Man,Latino/Chicano,1.0,1.0,,
4/3/2015 13:06:30,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Doe Library,,,Academic staff title,,,,6,,,,,Male/Man,White,1.0,1.0,,
4/3/2015 12:24:20,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,Political Science,,,"PhD student, dissertation stage",,,,7,,,,,Female/Woman,Decline to state,1.0,1.0,,
4/3/2015 12:22:52,,,7,7,,,,Email from the D-Lab mailing list,6.0,,,,Political Science,,,"PhD student, pre-dissertation",,,,7,,,,,Male/Man,Asian American,3.0,3.0,Novice,
4/3/2015 12:21:32,,,7,7,,,,Found it on the D-Lab website,7.0,,,,Economics,,,Undergraduate student,,,,7,,,,,Male/Man,International,1.0,1.0,,
4/3/2015 12:20:27,,,6,6,,,,Email from the D-Lab mailing list,,,,,n/a,,,,,,,6,,,,,n/a,n/a,,,,
4/3/2015 12:19:11,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Economics,,,Undergraduate student,,,,7,,,,,Female/Woman,Asian American,2.0,1.0,,
4/3/2015 12:18:07,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,ITS,,,Postdoctoral researcher,,,,7,,,,,Male/Man,Asian American,,,,
4/3/2015 12:17:19,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,CEE/ City Planning (dual),,,Masters student,,,,6,,,,,Male/Man,White,2.0,1.0,,
4/3/2015 12:16:14,,,6,6,,,,n/a,7.0,,,,,,,,,,,7,,,,,n/a,n/a,,,,
4/3/2015 12:15:21,,,7,7,,,,Found it on the D-Lab website,7.0,,,,DCRP,,,,,,,7,,,,,n/a,n/a,,,,
4/3/2015 12:14:26,,,5,7,,,,Found it on the D-Lab website,7.0,,,,Transportation Sustainability Research Center,,,Masters student,,,,7,,,,,Male/Man,White,1.0,1.0,,
4/3/2015 12:13:08,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,German,,,"PhD student, pre-dissertation","very, very helpful",,,7,,,,,Male/Man,White,1.0,1.0,,
4/3/2015 12:11:44,,,7,7,,,,Found it on the D-Lab website,7.0,,,,City Planning,,,Masters student,,,,7,,,,,Male/Man,Asian American,1.0,1.0,,
4/3/2015 11:57:05,,,7,5,,,,Heard about it from a friend/colleague,7.0,,,,City and Regional Planning,,,Masters student,Thanks for the course - it was great! ,,,6,,,,,Male/Man,White,1.0,1.0,,
4/2/2015 15:38:23,,,6,7,,,,Heard about it from a friend/colleague,6.0,,,,,,,Administrative staff title,,,,6,,,,,Female/Woman,"Latino/Chicano, Decline to state",4.0,2.0,,
4/2/2015 13:18:18,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Administrative staff title,,,,7,,,,,Female/Woman,Asian American,1.0,1.0,,
4/2/2015 12:38:04,,,3,2,,,,Found it on the D-Lab website,4.0,,,,Office of Planning & Analysis,,,Administrative staff title,,,,2,,,,,Female/Woman,White,1.0,1.0,,
4/1/2015 14:10:47,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,psychology,,,Administrative staff title,,,,7,,,,,Female/Woman,Asian American,3.0,2.0,D-Lab students,
3/30/2015 16:52:17,,,5,5,,,,Email from the D-Lab mailing list,7.0,,,,Sociology,,,"PhD student, dissertation stage","Her talk could have been 30 min if she were more interested in thinking about what we were interested in, as opposed to impressing us with her knowledge + life story. Not a good use of my time.",,,3,,,,,Male/Man,White,1.0,1.0,,
3/30/2015 16:47:28,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,Psychology,,,Undergraduate student,Thank you!,,,7,,,,,Female/Woman,White,2.0,1.0,,
3/26/2015 22:29:13,,,5,6,,,,Email from another mailing list,6.0,,,,library,,,Administrative staff title,Perhaps talks could be separated from workshops/training. It seems that a lunch talk is a different sort of beast--,,,5,,,,,Female/Woman,Decline to state,,,,
3/26/2015 15:21:00,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,ISEEES,,,"PhD student, dissertation stage",,,,5,,,,,Female/Woman,White,1.0,1.0,,
