"timestamp","course.delivered","instructor.communicated","hear","interest","department","verbs","useful","gender","ethnicity","outside.barriers","inside.barriers","what.barriers","position"
2015-04-14,6,6,"Heard about it from a friend/colleague",6,NA,NA,7,"Female/Woman","White",1,1,NA,"Undergraduate student"
2015-04-14,7,7,"Found it on the D-Lab website",6,NA,NA,6,"Male/Man","White",4,1,NA,"Undergraduate student"
2015-04-14,7,6,"Email from another mailing list",7,NA,NA,6,"Male/Man","Asian American, White",1,1,NA,"Undergraduate student"
2015-04-14,5,6,"Email from another mailing list",5,NA,NA,5,"Female/Woman","Asian American",1,1,NA,"Undergraduate student"
2015-04-13,6,7,NA,6,NA,NA,6,"Male/Man","White",NA,NA,NA,"former grad student and staff"
2015-04-13,6,6,"Email from the D-Lab mailing list",7,NA,"Working with an open-source database and related open-source software. The greatest challenge is the difficulty of discovering, acquiring, and extracting data. Among other things, this requires getting help from persons world-wide with appropriate competence, and managing many volunteers or short-term contractors has high overhead costs. A collaborative data extraction management platform would be very helpful in overcoming this challenge.",5,"Male/Man","Latino/Chicano, White",1,1,NA,"Researcher with a different affiliation"
2015-04-13,6,6,"Heard about it from a friend/colleague",6,NA,NA,7,"Male/Man","White",2,1,NA,"PhD student, dissertation stage"
2015-04-13,6,7,"Email from the D-Lab mailing list",7,NA,"Thank you!",6,"Female/Woman","White",2,1,NA,"Undergraduate student"
2015-04-13,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,NA,"Decline to state",1,1,NA,"librarian"
2015-04-13,7,7,"Email from another mailing list",7,NA,"How to use UPS, Big Data",7,"Female/Woman","Asian American",1,1,NA,"PhD student, dissertation stage"
2015-04-13,7,7,"Email from another mailing list",7,NA,NA,7,"Female/Woman","International",2,1,NA,"PhD student, dissertation stage"
2015-04-13,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",NA,NA,NA,"Masters student"
2015-04-13,6,6,"Don't remember",6,NA,NA,6,"Female/Woman","Decline to state",NA,NA,NA,"Undergraduate student"
2015-04-13,6,6,"Email from another mailing list",6,NA,NA,6,"Male/Man","White",1,1,NA,"Masters student"
2015-04-13,7,7,"Email from the D-Lab mailing list",7,NA,"Michael did a great job. I love the way he injected humor into his presentation!",7,"Female/Woman","Latino/Chicano",3,1,NA,"PhD student, pre-dissertation"
2015-04-13,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Female/Woman","White",1,1,NA,"Faculty"
2015-04-13,7,6,"Email from another mailing list",6,NA,"gis workshops on joining data from different sources",6,"Female/Woman","Asian American",2,1,NA,"Masters student"
2015-04-11,7,5,"Email from the D-Lab mailing list",6,NA,"The class was a little bit haphazard.  The instructor put together a nice set of materials but the presentation tended to jump around.

I'd like to see d3 classes that cover more advanced techniques such as integrating API or jQuery.

I work with institutional data on students, faculty, and staff primarily using Cal Answers.

The biggest technical challenge to my work is having the knowledge to create complicated visualizations in d3.",5,"Male/Man","White",1,1,NA,"Administrative staff title"
2015-04-10,5,4,"Email from the D-Lab mailing list",5,NA,"Great advice on moving ahead with d3 projects and nicely communicated excitement of abilities to make new arguments and make compelling arguments with d3 tools and connecting to D3 community",4,"Male/Man","White",1,1,NA,"Visiting fellow or researcher"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Male/Man","Asian American",1,1,NA,"Postdoctoral researcher"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",2,1,NA,"PhD student, dissertation stage"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,"very nicely interactive session!  the good turnout perhaps meant that folks were at different levels, but all seem to have profited",7,"Male/Man","White",1,2,NA,"Visiting fellow or researcher"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,"Zawadi is an excellent instructor. She is engaging and very knowledgeable. She was able to answer everyone's questions and gave examples in her explanations. ",6,"Female/Woman","Latino/Chicano",1,1,NA,"Administrative staff title"
2015-04-10,5,5,"Found it on the D-Lab website",5,NA,"This is for the d3.js workshop (there wasn't an option under the drop down menu) 
Thanks, it was great! ",5,"Female/Woman","Asian American",3,1,NA,"Masters student"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,"Great training! It was very informative, and was well worth my time.",7,"Female/Woman","White",NA,1,NA,"PhD student, dissertation stage"
2015-04-10,7,6,"Heard about it from a friend/colleague",7,NA,NA,6,"Female/Woman","Latino/Chicano",1,1,NA,"Undergraduate student"
2015-04-10,7,7,"Heard about it from a friend/colleague",7,NA,"All R trainings= Good! ",6,"Male/Man","White",1,1,NA,"PhD student, pre-dissertation"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,"Working with longitudinal data in R, merging data frames. ",7,"Male/Man","White",3,3,"Instructors","PhD student, pre-dissertation"
2015-04-10,7,7,"Email from the D-Lab mailing list",7,NA,"FSQA more advanced text analysis. Network Analysis",5,NA,"n/a",1,3,"Instructors","PhD student, pre-dissertation"
2015-04-10,6,6,"Heard about it from a friend/colleague",7,NA,"Pace of the training was fast, it was challenging to take notes while practicing/working on the computer. It will be really helpful and useful to have training manuals/materials available to workshop participants.",5,"Male/Man","Asian American",1,2,"Learning materials","Administrative staff title"
2015-04-09,7,7,"Heard about it from a friend/colleague",7,NA,NA,7,"Female/Woman","Asian American",1,1,NA,"Administrative staff title"
2015-04-09,7,5,"Email from the D-Lab mailing list",6,NA,NA,6,"Male/Man","White",NA,NA,NA,"Academic staff title"
2015-04-09,7,7,"Email from another mailing list",7,NA,"Happy to complete satisfaction surveys, but for this session I was asked to fill out the same survey in paper and by email.  If someone has filled out the paper survey, it would be nice not to get the email survey as well.
thanks!",7,"Female/Woman","White",1,1,NA,"Academic staff title"
2015-04-08,3,5,"Email from the D-Lab mailing list",5,NA,NA,4,"Female/Woman","White",4,1,NA,"Academic staff title"
2015-04-08,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",1,1,NA,"Librarian "
2015-04-08,7,7,"Found it on the D-Lab website",7,NA,"More classes for people without CD backgrounds (like this one) would be helpful ",7,"Female/Woman","White",1,1,NA,"Faculty"
2015-04-08,7,7,"Email from the D-Lab mailing list",7,NA,"It is very tough to being using code like python, or R. I would love a week-long beginners intensive course that went slow enough for a new-comer to actually follow along and keep up. ",7,"Female/Woman","White",1,1,NA,"Postdoctoral researcher"
2015-04-08,7,6,NA,6,NA,NA,6,NA,"Decline to state",NA,NA,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",7,NA,"excel ",6,"Female/Woman","Latino/Chicano",4,NA,"Learning materials","Undergraduate student"
2015-04-08,6,7,"Email from the D-Lab mailing list",7,"Integrative Biology",NA,6,"Male/Man","White",1,1,NA,NA
2015-04-08,7,7,"Found it on the D-Lab website",7,"Information",NA,7,"Female/Woman","Asian American",3,1,NA,NA
2015-04-08,7,7,"Heard about it from a friend/colleague",7,"Integrative Biology",NA,7,"Female/Woman","White",NA,1,NA,NA
2015-04-08,7,6,"Heard about it from a friend/colleague",7,"Integrative Biology",NA,7,"Female/Woman","White",2,1,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",7,"City & Regional Planning","More D-3 -- both sessions full! More modelling stuff",7,"Female/Woman","White",1,1,NA,NA
2015-04-08,5,7,"Heard about it from a friend/colleague",NA,"Integrative Biology","I would love additional hands on workshops. The working group sounds interesting!",7,"Female/Woman","White",2,1,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",NA,"Political Science",NA,7,"Male/Man","African American/Black",2,1,NA,NA
2015-04-08,7,6,"Email from the D-Lab mailing list",NA,NA,NA,7,"Male/Man","Asian American",1,1,NA,NA
2015-04-08,7,6,"Found it on the D-Lab website",7,"JSP Grad Pgm","When teaching in STATA, please find a way to make the font larger in the do-file. Made it difficult to learn because I could not read anything she wrote. She was wonderful!",7,"Female/Woman","White",3,3,NA,NA
2015-04-08,7,4,"Found it on the D-Lab website",7,"Public Health","Please make information on the screen bigger. Also, very helpful to have floaters assisting in the room",5,"Female/Woman","White",1,1,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",7,"Integrative Biology",NA,7,"Male/Man","Latino/Chicano, White",NA,NA,NA,NA
2015-04-08,7,6,"Found it on the D-Lab website",7,"Public Health","You should offer more excel workshops! Thanks so much for this stata workshop.",7,"Female/Woman","White",4,1,NA,NA
2015-04-08,7,7,"Email from another mailing list",7,"Public Policy","It would be nice to have a command handout",6,"Female/Woman","Latino/Chicano",5,1,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,NA,"N/A",NA,NA,NA,NA
2015-04-08,7,7,"Found it on the D-Lab website",7,"Economics",NA,7,"Female/Woman","International",NA,NA,NA,NA
2015-04-08,7,7,"Heard about it from a friend/colleague",7,"Public Policy","It would be good to have some exercises to practice with solutions. ",7,"Female/Woman","White",3,3,NA,NA
2015-04-08,7,5,"Found it on the D-Lab website",7,"JSP Grad Pgm",NA,6,"Female/Woman","Decline to state",NA,NA,NA,NA
2015-04-08,7,7,"Heard about it from a friend/colleague",7,"African American Studies",NA,7,"Male/Man","Chinese",3,3,NA,NA
2015-04-08,1,1,"Email from another mailing list",1,"African American Studies","I'd like to join in more STATA training courses.",1,"Female/Woman","International",3,1,NA,NA
2015-04-08,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,NA,"N/A",NA,NA,NA,NA
2015-04-07,7,7,"Found it on the D-Lab website",7,"Information",NA,7,"Female/Woman","Asian American",3,1,NA,NA
2015-04-07,7,7,"Email from another mailing list",7,"Sociology",NA,7,"Male/Man","White",1,1,NA,NA
2015-04-07,5,6,"Email from the D-Lab mailing list",7,"Linguistics",NA,5,"Female/Woman","White",3,1,NA,NA
2015-04-06,7,7,"Email from another mailing list",7,"Education",NA,5,"Female/Woman","White",3,1,NA,NA
2015-04-06,7,6,"Heard about it from a friend/colleague",7,"History",NA,6,"Male/Man","White",1,1,NA,NA
2015-04-03,6,5,"Found it on the D-Lab website",7,"Economics",NA,4,"Male/Man","Latino/Chicano",1,1,NA,NA
2015-04-03,7,7,"Found it on the D-Lab website",7,"Integrative Biology",NA,6,"Male/Man","White",1,1,NA,NA
2015-04-03,7,7,"Heard about it from a friend/colleague",7,"Political Science",NA,7,"Female/Woman","Decline to state",1,1,NA,NA
2015-04-03,7,7,"Email from the D-Lab mailing list",6,"Political Science",NA,7,"Male/Man","Asian American",3,3,"Novice",NA
2015-04-03,7,7,"Found it on the D-Lab website",7,"Economics",NA,7,"Male/Man","International",1,1,NA,NA
2015-04-03,6,6,"Email from the D-Lab mailing list",NA,NA,NA,6,NA,"n/a",NA,NA,NA,NA
2015-04-03,7,7,"Email from the D-Lab mailing list",7,"Economics",NA,7,"Female/Woman","Asian American",2,1,NA,NA
2015-04-03,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Male/Man","Asian American",NA,NA,NA,NA
2015-04-03,7,7,"Heard about it from a friend/colleague",7,"City & Regional Planning",NA,6,"Male/Man","White",2,1,NA,NA
2015-04-03,6,6,"n/a",7,NA,NA,7,NA,"n/a",NA,NA,NA,NA
2015-04-03,7,7,"Found it on the D-Lab website",7,"City & Regional Planning",NA,7,NA,"n/a",NA,NA,NA,NA
2015-04-03,5,7,"Found it on the D-Lab website",7,NA,NA,7,"Male/Man","White",1,1,NA,NA
2015-04-03,7,7,"Email from the D-Lab mailing list",7,NA,"very, very helpful",7,"Male/Man","White",1,1,NA,NA
2015-04-03,7,7,"Found it on the D-Lab website",7,"City & Regional Planning",NA,7,"Male/Man","Asian American",1,1,NA,NA
2015-04-03,7,5,"Heard about it from a friend/colleague",7,"City & Regional Planning","Thanks for the course - it was great! ",6,"Male/Man","White",1,1,NA,NA
2015-04-02,6,7,"Heard about it from a friend/colleague",6,NA,NA,6,"Female/Woman","Latino/Chicano, Decline to state",4,2,NA,NA
2015-04-02,7,7,"Heard about it from a friend/colleague",7,NA,NA,7,"Female/Woman","Asian American",1,1,NA,NA
2015-04-02,3,2,"Found it on the D-Lab website",4,"City & Regional Planning",NA,2,"Female/Woman","White",1,1,NA,NA
2015-04-01,7,7,"Email from the D-Lab mailing list",7,"Psychology",NA,7,"Female/Woman","Asian American",3,2,"D-Lab students",NA
2015-03-30,5,5,"Email from the D-Lab mailing list",7,"Sociology","Her talk could have been 30 min if she were more interested in thinking about what we were interested in, as opposed to impressing us with her knowledge + life story. Not a good use of my time.",3,"Male/Man","White",1,1,NA,NA
2015-03-30,7,7,"Email from the D-Lab mailing list",7,"Psychology","Thank you!",7,"Female/Woman","White",2,1,NA,NA
2015-03-26,5,6,"Email from another mailing list",6,"Integrative Biology","Perhaps talks could be separated from workshops/training. It seems that a lunch talk is a different sort of beast--",5,"Female/Woman","Decline to state",NA,NA,NA,NA
2015-03-26,7,7,"Email from the D-Lab mailing list",7,"Slavic Languages & Lit",NA,5,"Female/Woman","White",1,1,NA,NA
2015-03-26,7,6,"Heard about it from a friend/colleague",7,"Integrative Biology","In the request for feedback email it would be helpful if you included the name of the instructor.",5,"Female/Woman","White",2,1,NA,NA
2015-03-23,7,6,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",1,1,NA,NA
2015-03-20,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Male/Man","White",1,1,NA,NA
2015-03-20,7,7,"Heard about it from a friend/colleague",7,"Integrative Biology","Basic & intermediate R",6,"Male/Man","White",1,1,NA,NA
2015-03-20,4,3,"Found it on the D-Lab website",6,"Political Science",NA,4,"Male/Man","Decline to state",2,2,NA,NA
2015-03-20,6,7,"Email from the D-Lab mailing list",7,NA,NA,6,"Female/Woman","White",1,1,NA,NA
2015-03-20,6,4,"Email from the D-Lab mailing list",5,"Economics","I'd prefer more typing along with the instructor rather than just looking at slides - make us work through it all with you, rather than coping + pasting, or looking at slides.",4,"Male/Man","Decline to state",NA,NA,NA,NA
2015-03-20,7,7,"Found it on the D-Lab website",7,NA,NA,6,"Male/Man","White",1,1,NA,NA
2015-03-20,7,7,"Email from the D-Lab mailing list",7,"City & Regional Planning",NA,7,"Female/Woman","Decline to state",NA,NA,NA,NA
2015-03-19,7,7,"Heard about it from a friend/colleague",7,"Integrative Biology",NA,5,"Female/Woman","White",4,1,NA,NA
2015-03-17,7,5,"Heard about it from a friend/colleague",7,"Public Policy",NA,6,"Male/Man","Latino/Chicano",2,1,NA,NA
2015-03-17,7,7,"Email from the D-Lab mailing list",5,NA,"Great workshop!",7,"Male/Man","Decline to state",1,1,NA,NA
2015-03-17,7,7,"Email from the D-Lab mailing list",7,"Public Health",NA,7,"Male/Man","White",1,1,NA,NA
2015-03-17,4,4,NA,4,NA,"I missed this session and would love a repeat!",4,NA,"Decline to state",NA,NA,NA,NA
2015-03-17,4,5,"Found it on the D-Lab website",6,"Env Sci, Policy, & Mgmt",NA,5,"Female/Woman","Asian American",4,3,NA,NA
2015-03-17,7,7,"Email from the D-Lab mailing list",7,"Env Sci, Policy, & Mgmt",NA,6,"Male/Man","White",1,1,NA,NA
2015-03-17,6,5,"Found it on the D-Lab website",7,NA,NA,5,"Male/Man","Asian American",2,2,NA,NA
2015-03-17,7,7,"Found it on the D-Lab website",7,"Music",NA,7,"Female/Woman","White",2,1,NA,NA
2015-03-17,7,6,"Email from the D-Lab mailing list",7,NA,NA,6,"Female/Woman","Latino/Chicano",5,NA,NA,NA
2015-03-17,7,6,"Found it on the D-Lab website",7,NA,NA,7,"Female/Woman","White",1,1,NA,NA
2015-03-17,5,5,"Email from the D-Lab mailing list",6,"Public Health","Data Visualization is amazing",5,"Female/Woman","Asian American",4,2,"Learning materials",NA
2015-03-17,7,7,"Email from the D-Lab mailing list",7,"Public Health","Love it. Excellent teaching. Thanks for repeating steps to keep up on track and asking if we have questions",7,"Female/Woman","Asian American",1,1,NA,NA
2015-03-17,7,7,"Email from the D-Lab mailing list",7,"Political Science",NA,7,"Female/Woman","African American/Black",3,1,NA,NA
2015-03-17,5,7,"Email from the D-Lab mailing list",7,"Political Science",NA,5,"Male/Man","Asian American",2,2,NA,NA
2015-03-17,7,7,"Found it on the D-Lab website",7,NA,NA,7,NA,"Decline to state",NA,NA,NA,NA
2015-03-16,7,7,"Email from the D-Lab mailing list",7,"JSP Grad Pgm",NA,7,"Female/Woman","Decline to state",1,1,NA,NA
2015-03-16,7,7,"Professor",7,"Public Health","Ziwadi is a great instructor and this is the third DLab course I have taken with her.  I always walk away feeling like I know more than when I came in.  I look forward to attending future workshops! ",7,"Female/Woman","Latino/Chicano",3,1,NA,NA
2015-03-14,7,5,"Email from the D-Lab mailing list",7,"Public Health",NA,7,"Female/Woman","White",2,1,NA,NA
2015-03-13,7,7,"Email from the D-Lab mailing list",7,"Education","Great intro to Qualtrics! friendly & experienced Qualtrics instructor - learned a lot & eager to use it for my own project! Thanks, Doug!",7,"Female/Woman","Asian American",1,1,NA,NA
2015-03-13,7,7,"Heard about it from a friend/colleague",7,"Law",NA,7,"Male/Man","African American/Black, International",1,1,NA,NA
2015-03-13,7,7,"Heard about it from a friend/colleague",6,"App Sci & Tech Grad Grp","Really useful!",7,"Male/Man","White",1,1,NA,NA
2015-03-13,7,6,"Email from another mailing list",7,NA,NA,7,"Female/Woman","African American/Black",4,1,NA,NA
2015-03-13,7,6,"Email from the D-Lab mailing list",7,"Public Policy",NA,6,"Male/Man","Latino/Chicano",3,3,NA,NA
2015-03-13,7,7,"Heard about it from a friend/colleague",7,"Public Policy","This was great! It went at a good pace. My only suggestion - Is there a way students could access a survey or work through it on their own laptops? (ie replicate what Doug is doing)",7,"Female/Woman","White",1,1,NA,NA
2015-03-13,7,7,"Email from the D-Lab mailing list",7,"Political Science",NA,7,"Male/Man","White",2,1,NA,NA
2015-03-13,7,7,"Found it on the D-Lab website",7,"Education",NA,7,"Female/Woman","White",2,1,NA,NA
2015-03-13,7,7,"Found it on the D-Lab website",7,"Psychology",NA,4,"Female/Woman","White",NA,NA,NA,NA
2015-03-13,7,7,"Email from the D-Lab mailing list",7,"Education","Linking",7,"Female/Woman","Latino/Chicano",4,1,NA,NA
2015-03-13,4,4,"Email from the D-Lab mailing list",NA,"Ag & Resource Econ & Pol",NA,4,"Female/Woman","Asian American",4,NA,NA,NA
2015-03-13,7,7,"Found it on the D-Lab website",7,"Music",NA,5,NA,"Decline to state",NA,NA,NA,NA
2015-03-13,6,7,"Heard about it from a friend/colleague",7,"Energy & Resources Group",NA,5,NA,"Decline to state",NA,NA,NA,NA
2015-03-13,6,7,"Found it on the D-Lab website",7,"Psychology","Thank you!!!",5,"Female/Woman","White",2,1,"advertising",NA
2015-03-13,6,6,"Email from the D-Lab mailing list",7,"Education","Very helpful! Brief but informative. It was nice to hear that our sample exercises mimic Zawadi's actual analysis process - gave me a new idea b/c I was wondering how I'd compare once everything was coded in Atlas. Paper to the rescue!",7,"Female/Woman","Asian American",1,1,NA,NA
2015-03-13,7,7,"a colleague",7,NA,"Zawadi is wonderful instructor. She is engaging and provides illuminating examples. ",6,"Female/Woman","Latino/Chicano",4,1,NA,NA
2015-03-13,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Male/Man","White",1,1,NA,NA
2015-03-12,6,6,"Heard about it from a friend/colleague",7,NA,NA,6,"Female/Woman","Asian American",4,1,NA,NA
2015-03-12,5,5,"Found it on the D-Lab website",7,"Economics","Cleaning databases",7,"Female/Woman","White",2,1,NA,NA
2015-03-12,7,7,"Found it on the D-Lab website",7,NA,NA,7,NA,"White",1,1,NA,NA
2015-03-11,7,7,"Found it on the D-Lab website",7,NA,"I thought  the instructor did a great job.  His approach was  contingent upon working with a relatively small dataset. 
",6,"Male/Man","White",1,1,NA,NA
2015-03-11,5,5,"Heard about it from a friend/colleague",5,NA,"This session seemed a little fast-paced. Appreciated the prepared do-file for reference. ",5,"Female/Woman","Decline to state",1,1,NA,NA
2015-03-11,7,6,"Found it on the D-Lab website",7,NA,NA,6,"Female/Woman","White",5,1,NA,NA
2015-03-11,6,6,"Email from another mailing list",4,"Public Health",NA,4,NA,"Decline to state",NA,NA,NA,NA
2015-03-10,7,7,"Email from the D-Lab mailing list",7,"Political Science",NA,7,"Male/Man","White",1,1,NA,NA
2015-03-10,6,6,"Email from the D-Lab mailing list",6,"Sociology",NA,6,"Female/Woman","Not on the form",1,1,NA,NA
2015-03-10,6,5,"Email from another mailing list",7,"Public Policy",NA,5,"Male/Man","White",1,1,NA,NA
2015-03-10,7,7,"Email from the D-Lab mailing list",7,NA,"Challenges: Excel 
Want to learn more about data research basics. ",7,"Female/Woman","Latino/Chicano",5,4,"Content",NA
2015-03-09,7,7,"Email from the D-Lab mailing list",7,NA,"Good format, good to have coverage of both Fact Finder and Social Explorer. And it was actually helpful going back and forth between them, because it made it clearer what's actually in the underlying census data. Thank you!",7,NA,"Decline to state",NA,NA,NA,NA
2015-03-09,4,6,"Email from the D-Lab mailing list",7,"Political Science",NA,5,NA,"Decline to state",NA,NA,NA,NA
2015-03-09,6,6,"Email from the D-Lab mailing list",7,"Public Policy","Definitely more work with ArcGIS. I've enjoyed the sessions thus far.",6,"Male/Man","Latino/Chicano",3,3,NA,NA
2015-03-09,4,6,"Found it on the D-Lab website",5,"Public Health","Slower than expected, but received useful information",5,"Female/Woman","African American/Black",3,1,NA,NA
